date,match,team,side,model,bid,ask,spread,depth,ev,exp_margin,exp_total,tradeable
2026-08-10,Chicago Sky @ Seattle Storm,Seattle Storm,HOME,0.634308533385412,0.99,1.0,0.010000000000000009,70182.4719,-0.36569146661458796,4.4333907369303915,167.95667258941202,True
2026-08-10,Chicago Sky @ Seattle Storm,Chicago Sky,AWAY,0.36569146661458796,0.0,0.01,0.01,42501.873900000006,0.35499846661458795,4.4333907369303915,167.95667258941202,True
2026-08-11,New York Liberty @ Indiana Fever,Indiana Fever,HOME,0.5419120977376232,0.62,0.63,0.010000000000000009,34438.0002,-0.10440490226237686,1.3592829603341414,177.7323452068075,True
2026-08-11,New York Liberty @ Indiana Fever,New York Liberty,AWAY,0.45808790226237683,0.37,0.38,0.010000000000000009,44326.7448,0.06159590226237683,1.3592829603341414,177.7323452068075,True
2026-08-11,Phoenix Mercury @ Los Angeles Sparks,Los Angeles Sparks,HOME,0.503879250329674,0.52,0.53,0.010000000000000009,36196.3302,-0.043557749670326044,0.1255809789749378,173.8528294404239,True
2026-08-11,Phoenix Mercury @ Los Angeles Sparks,Phoenix Mercury,AWAY,0.49612074967032604,0.46,0.47,0.009999999999999953,38772.1538,0.008683749670326042,0.1255809789749378,173.8528294404239,True
2026-08-11,Washington Mystics @ Las Vegas Aces,Las Vegas Aces,HOME,0.7219630889940558,0.76,0.77,0.010000000000000009,27777.314600000005,-0.0604339110059442,7.602578423789453,165.16942896364188,True
2026-08-11,Washington Mystics @ Las Vegas Aces,Washington Mystics,AWAY,0.2780369110059442,0.23,0.24,0.009999999999999981,43414.6205,0.025268911005944195,7.602578423789453,165.16942896364188,True
2026-08-12,Chicago Sky @ Golden State Valkyries,Golden State Valkyries,HOME,0.7707614982593023,0.81,0.82,0.009999999999999898,4820.242500000001,-0.05957050174069766,9.574292218559805,159.34313388633737,True
2026-08-12,Chicago Sky @ Golden State Valkyries,Chicago Sky,AWAY,0.2292385017406977,0.18,0.19,0.010000000000000009,7013.2525000000005,0.028465501740697705,9.574292218559805,159.34313388633737,True
2026-08-12,Minnesota Lynx @ Portland Fire,Portland Fire,HOME,0.2743663275637859,0.13,0.14,0.010000000000000009,13195.8261,0.12593832756378587,-7.744342894270261,176.78107342107594,True
2026-08-12,Minnesota Lynx @ Portland Fire,Minnesota Lynx,AWAY,0.7256336724362141,0.86,0.88,0.020000000000000018,7721.449199999999,-0.1617583275637859,-7.744342894270261,176.78107342107594,True
2026-08-12,Toronto Tempo @ Dallas Wings,Dallas Wings,HOME,0.6969011057310477,0.79,0.81,0.020000000000000018,7662.8974,-0.12387189426895237,6.657559276941996,183.16296912979828,True
2026-08-12,Toronto Tempo @ Dallas Wings,Toronto Tempo,AWAY,0.3030988942689523,0.19,0.21,0.01999999999999999,9501.703500000001,0.08148589426895235,6.657559276941996,183.16296912979828,True
2026-08-13,Atlanta Dream @ Connecticut Sun,Connecticut Sun,HOME,0.34561256442701827,0.19,0.23,0.04000000000000001,264.9825,0.10321556442701828,-5.1295691452618115,161.7864849728005,False
2026-08-13,Atlanta Dream @ Connecticut Sun,Atlanta Dream,AWAY,0.6543874355729817,0.77,0.81,0.040000000000000036,336.15970000000004,-0.16638556442701832,-5.1295691452618115,161.7864849728005,False
2026-08-13,Los Angeles Sparks @ New York Liberty,New York Liberty,HOME,0.7526578005834379,0.69,0.81,0.1200000000000001,203.35010000000003,-0.06811519941656216,8.819052674887075,176.94165333088372,False
2026-08-13,Los Angeles Sparks @ New York Liberty,Los Angeles Sparks,AWAY,0.2473421994165621,0.21,0.23,0.020000000000000018,81.25,0.004945199416562117,8.819052674887075,176.94165333088372,False
2026-08-13,Washington Mystics @ Las Vegas Aces,Las Vegas Aces,HOME,0.7219630889940558,0.66,0.76,0.09999999999999998,198.3504,-0.0508049110059442,7.602578423789453,165.16942896364188,False
2026-08-13,Washington Mystics @ Las Vegas Aces,Washington Mystics,AWAY,0.2780369110059442,0.25,0.3,0.04999999999999999,286.61,-0.03666308899405583,7.602578423789453,165.16942896364188,False
